"","target","feature","n_eff","mi","cramer_v","polychor","theil_u","type_feature","type_target","score","rank_theilU","rank_mi","rank_cramer","rank_poly","rank_score","rank"
"18","t_Q19","Q34",4918,0.01496337712992,0.170268575350624,0.275277858873767,0.0324369829415321,"ordinal","ordinal",0.0685058463263344,21,21,21,2,18,18
"19","t_Q19","Q41",4918,0.0124472062408518,0.155320841169968,0.244050505622117,0.0270011246164055,"ordinal","ordinal",0.0598719713213073,25,26,26,5,19,19
"20","t_Q19","Q35",4887,0.0125538761583508,0.163893637046134,0.233110611126658,0.0271690912022942,"ordinal","ordinal",0.0597680423861609,24,24,23,6,20,20
"21","t_Q19","Q37",4906,0.0113940340508734,0.14925263425513,0.232798371201689,0.0247322778216193,"ordinal","ordinal",0.0564626774539154,27,27,28,7,21,21
"22","t_Q19","Q169",4689,0.0097944236864711,0.138383622533116,0.213446069539036,0.0210847045465884,"ordinal","ordinal",0.0507721190411096,32,32,34,8,22,22
"23","t_Q19","Q182",4637,0.019813477322975,0.18614051797106,NA,0.0428652730343217,"nominal","ordinal",0.0502772588145915,16,16,17,31,23,23
"24","t_Q19","Q28",4869,0.00814835071338837,0.127338630571448,0.192227110641132,0.017645281813759,"ordinal","ordinal",0.04498824842353,41,39,39,10,24,24
"25","t_Q19","Q209",4780,0.0168958914274846,0.176168331297473,NA,0.0368638319571686,"nominal","ordinal",0.0448038997322939,17,17,20,31,25,25
"26","t_Q19","Q6",4911,0.00757838110094511,0.121024014783566,0.203091044017413,0.0164030914254911,"ordinal","ordinal",0.0445268750656761,44,44,45,9,26,26
"27","t_Q19","Q237",4730,0.0158542499496397,0.179267586426566,NA,0.0344271861690201,"nominal","ordinal",0.0433393453289605,19,19,18,31,27,27
"28","t_Q19","Q36",4034,0.00763877964529325,0.124118121163966,-0.178119197222043,0.0173486170065465,"ordinal","ordinal",0.0429245359361167,42,43,43,12,28,28
"29","t_Q19","Q38",4916,0.00700946555249704,0.117464478210346,0.184476731572242,0.0151911984926381,"ordinal","ordinal",0.0414116797395908,49,49,50,11,29,29
"30","t_Q19","Q282",3019,0.0124483951280743,0.16503423068983,NA,0.0267357359396271,"nominal","ordinal",0.0362793831711816,26,25,22,31,30,30
"31","t_Q19","Q186",4841,0.0127800288417683,0.156938025853,NA,0.027833722729667,"nominal","ordinal",0.0362280448756306,22,22,25,31,31,31
"32","t_Q19","Q185",4867,0.0125751970816443,0.156969728320044,NA,0.0273009297071597,"nominal","ordinal",0.0358500897807935,23,23,24,31,32,32
"33","t_Q19","Q32",4809,0.00512856749248503,0.102969331752545,0.141105484757308,0.0110256137962661,"ordinal","ordinal",0.0325614201764905,66,64,60,13,33,33
"34","t_Q19","Q197",4837,0.0107601142620704,0.150153393117697,NA,0.0233736580007382,"nominal","ordinal",0.0322675683908337,29,29,27,31,34,34
"35","t_Q19","Q184",4840,0.010986629477082,0.140823457204008,NA,0.0239249544613707,"nominal","ordinal",0.0317333072403478,28,28,31,31,35,35
"36","t_Q19","Q216",4809,0.0102492367911751,0.143591841293928,NA,0.0223456554953668,"nominal","ordinal",0.0308413484639654,30,30,29,31,36,36
"37","t_Q19","Q239",4666,0.0100760884772431,0.140286726965449,NA,0.0217526985754571,"nominal","ordinal",0.0301031183849921,31,31,32,31,37,37
"38","t_Q19","Q281",4525,0.00966108192856474,0.141773902266492,NA,0.0209717218544184,"nominal","ordinal",0.0296587479178697,33,33,30,31,38,38
"39","t_Q19","Q283",4364,0.00876010290301554,0.140176385781022,NA,0.0190625883139393,"nominal","ordinal",0.0280832224373705,34,34,33,31,39,39
"40","t_Q19","Q277",4378,0.0085156553238015,0.130066836129784,NA,0.0187279284994166,"nominal","ordinal",0.0267981373097688,36,35,35,31,40,40
"41","t_Q19","Q270",4879,0.00848166518703319,0.128152233031378,NA,0.0184533861007304,"nominal","ordinal",0.026431754519686,37,36,38,31,41,41
"42","t_Q19","Q278",4331,0.0083138181025042,0.128622922503956,NA,0.0182113290670938,"nominal","ordinal",0.0262832351214031,38,37,37,31,42,42
"43","t_Q19","Q276",3354,0.00825588444922509,0.129865069682543,NA,0.0178380740094467,"nominal","ordinal",0.0261661167086898,39,38,36,31,43,43
"44","t_Q19","Q231",4318,0.00331493459838139,0.083003886090462,0.12312579102527,0.00726590906454603,"ordinal","ordinal",0.0259669935298153,92,94,94,14,44,44
"45","t_Q19","Q218",4473,0.00814174999646067,0.120781793894854,NA,0.0190005276595889,"nominal","ordinal",0.025921020984177,35,40,46,31,45,45
"46","t_Q19","Q262",4914,0.00807082630900879,0.124149955030076,NA,0.0176460162273621,"nominal","ordinal",0.0254238531321275,40,41,42,31,46,46
"47","t_Q19","Q62",4773,0.00797730149495912,0.126974747137887,NA,0.0171938723280726,"nominal","ordinal",0.02540698855912,43,42,40,31,47,47
"48","t_Q19","Q225",4198,0.00384435866471211,0.0882987009262686,0.101211511127775,0.00837510084750368,"ordinal","ordinal",0.0251293893133202,84,84,85,17,48,48
"49","t_Q19","Q39",4903,0.00319068439506331,0.0797279262654744,0.115466459150594,0.00691376125119956,"ordinal","ordinal",0.0246249006108456,97,98,98,15,49,49
"50","t_Q19","Q275",4889,0.00745585947010685,0.124278511997517,NA,0.0161845950787393,"nominal","ordinal",0.0243753660880273,45,45,41,31,50,50
"51","t_Q19","Q217",4674,0.00743209147757895,0.119324884936671,NA,0.0161776958154394,"nominal","ordinal",0.0238687334262044,46,46,48,31,51,51
"52","t_Q19","Q280",3221,0.00719812110701845,0.123308134309646,NA,0.0154690712381698,"nominal","ordinal",0.023771692505972,48,48,44,31,52,52
"53","t_Q19","Q205",4854,0.00727637872978271,0.118722628636947,NA,0.0157833339093549,"nominal","ordinal",0.0235251768282425,47,47,49,31,53,53
"54","t_Q19","Q206",4864,0.00693498880329901,0.119963328674525,NA,0.0150295513114927,"nominal","ordinal",0.0230945602953378,50,50,47,31,54,54
"55","t_Q19","Q123",3901,0.00625806220341207,0.114256415916863,NA,0.0136205546110121,"ordinal","ordinal",0.0214753930193172,52,52,51,31,55,55
"56","t_Q19","Q5",4860,0.0026534347675442,0.0720111423102382,0.0996449572672084,0.00573979062322098,"ordinal","ordinal",0.0214055147619405,118,116,123,18,56,56
"57","t_Q19","Q12",4914,0.00621659604319102,0.112892200217449,NA,0.0136014959132414,"nominal","ordinal",0.021315096382647,53,53,52,31,57,57
"58","t_Q19","Q214",4805,0.00628277157407453,0.11226194057296,NA,0.0136522863671478,"nominal","ordinal",0.021302397349807,51,51,53,31,58,58
"59","t_Q19","Q125",3332,0.00606035454529952,0.112234637062033,NA,0.0133275693551091,"ordinal","ordinal",0.0210381116828587,54,54,54,31,59,59
"60","t_Q19","Q224",4374,0.00213443481604259,0.0654887787985453,-0.103895357594886,0.00466558525098287,"ordinal","ordinal",0.0203780952347456,135,136,137,16,60,60
"61","t_Q19","Q120",4801,0.00292221751508048,0.0771989220336784,0.0740049838244596,0.00631116784979162,"ordinal","ordinal",0.0197837565502129,104,102,104,21,61,61
"62","t_Q19","Q72",4812,0.00551872563315126,0.107185461326195,NA,0.0119853340499293,"nominal","ordinal",0.0195653642525225,56,55,55,31,62,62
"63","t_Q19","Q200",4906,0.00546524200599308,0.10594894858729,NA,0.0118548398166836,"nominal","ordinal",0.0193473713505371,57,57,56,31,63,63
"64","t_Q19","Q148",4572,0.00547605065643353,0.104718012820478,NA,0.0120416077088337,"nominal","ordinal",0.0193395811042781,55,56,57,31,64,64
"65","t_Q19","Q242",4749,0.00536551092536897,0.104618171554512,NA,0.0116120152603306,"nominal","ordinal",0.0190386795892602,59,59,58,31,65,65
"66","t_Q19","Q187",4832,0.00543197518495031,0.100454188789445,NA,0.0117186161043815,"nominal","ordinal",0.0187061810970585,58,58,67,31,66,66
"67","t_Q19","Q210",4734,0.00524408793590592,0.101056870331999,NA,0.0113849131308964,"nominal","ordinal",0.0185098612925095,60,60,66,31,67,67
"68","t_Q19","Q279",4860,0.00516740454162523,0.102124111938695,NA,0.0112404455150857,"nominal","ordinal",0.0185068998654085,61,62,63,31,68,68
"69","t_Q19","Q93",3356,0.00487999056821486,0.103206503779024,NA,0.0111237493193733,"nominal","ordinal",0.0184588971399909,64,67,59,31,69,69
"70","t_Q19","Q247",4792,0.00515981817302524,0.101897183311423,NA,0.0111863916012225,"nominal","ordinal",0.0184494987437833,63,63,64,31,70,70
"71","t_Q19","Q3",4920,0.00232679343706454,0.0720769554734345,-0.0747537020759442,0.00505209108864237,"ordinal","ordinal",0.0184123584392427,130,130,122,20,71,71
"72","t_Q19","Q243",4831,0.00510699401013603,0.102355615177557,NA,0.0110700325023662,"nominal","ordinal",0.0184096792222162,65,65,62,31,72,72
"73","t_Q19","Q67",4891,0.0049319622999846,0.102766934563606,NA,0.0107084902678498,"nominal","ordinal",0.0181813763070659,67,66,61,31,73,73
"74","t_Q19","Q235",4711,0.00518080674363119,0.0988096810544098,NA,0.0112154154023947,"nominal","ordinal",0.0181644593699672,62,61,69,31,74,74
"75","t_Q19","Q48",4896,0.00472680305733153,0.101148518633813,NA,0.0102478711765057,"nominal","ordinal",0.0176816154864842,69,68,65,31,75,75
"76","t_Q19","Q73",4805,0.00466642707147091,0.0990818528671257,NA,0.0101256832898653,"nominal","ordinal",0.017383523382073,70,71,68,31,76,76
"77","t_Q19","Q245",4750,0.00472205977810969,0.0958550177427101,NA,0.0102572255205416,"nominal","ordinal",0.0171564550200289,68,69,73,31,77,77
"78","t_Q19","Q147",4895,0.00464533088434482,0.096841800173562,NA,0.0100909909667684,"nominal","ordinal",0.0171323738627207,71,72,71,31,78,78
"79","t_Q19","Q143",4658,0.00469278620372027,0.0955196694870473,NA,0.0100067336903564,"nominal","ordinal",0.0169638430240346,72,70,75,31,79,79
"80","t_Q19","Q64",4863,0.00454536542593775,0.0970054168518514,NA,0.0098087413436602,"nominal","ordinal",0.0169493961191626,73,73,70,31,80,80
"81","t_Q19","Q92",3366,0.00440174540434679,0.0955473083204975,NA,0.00941812774691764,"nominal","ordinal",0.0165261311015044,75,74,74,31,81,81
"82","t_Q19","Q81",4729,0.00433274755692281,0.0951716804359286,NA,0.00944814586224593,"nominal","ordinal",0.0164858798280173,74,75,76,31,82,82
"83","t_Q19","Q77",4727,0.0041601710049255,0.0959745652050356,NA,0.00907614648058002,"nominal","ordinal",0.0162911957103292,76,76,72,31,83,83
"84","t_Q19","Q227",4311,0.00193111573913463,0.0616206651999002,0.0679101071442689,0.00415926559725287,"ordinal","ordinal",0.016027971314509,144,144,145,23,84,84
"85","t_Q19","Q212",4734,0.00414537772758816,0.0897318305018168,NA,0.00899316436530356,"nominal","ordinal",0.0156126949876403,77,77,79,31,85,85
"86","t_Q19","Q49",4919,0.00396813263507312,0.091799803848763,NA,0.00860890684821682,"nominal","ordinal",0.0155357642843283,81,81,77,31,86,86
"87","t_Q19","Q211",4786,0.00406625973593222,0.0897635934075677,NA,0.00882782468729817,"nominal","ordinal",0.0154929320739153,78,78,78,31,87,87
"88","t_Q19","Q142",4701,0.00406422568455689,0.0890479467985431,NA,0.00882528754904714,"nominal","ordinal",0.0154192349146497,79,79,81,31,88,88
"89","t_Q19","Q172",4883,0.0040110265710851,0.0890460775551071,NA,0.00870659038391385,"nominal","ordinal",0.0153318699571845,80,80,82,31,89,89
"90","t_Q19","Q222",4469,0.00384445427417557,0.0891404229320576,NA,0.00860052262969001,"nominal","ordinal",0.0152276921532724,82,83,80,31,90,90
"91","t_Q19","Q164",4902,0.00392040269802418,0.0878258578235527,NA,0.00849394057772194,"nominal","ordinal",0.0150550709383957,83,82,88,31,91,91
"92","t_Q19","Q248",4800,0.00383998411072461,0.087933749987872,NA,0.00833317479611348,"nominal","ordinal",0.0149452751096727,85,85,87,31,92,92
"93","t_Q19","Q259",4798,0.00380300132834943,0.0881619857974353,NA,0.00825673686642977,"nominal","ordinal",0.0149111410981062,86,86,86,31,93,93
"94","t_Q19","Q87",4012,0.00367115512419502,0.0886681330305614,NA,0.00812389537531172,"nominal","ordinal",0.0148424970655017,88,88,83,31,94,94
"95","t_Q19","Q198",4848,0.00374439165752438,0.0883916002038672,NA,0.0081274927277573,"nominal","ordinal",0.0148389731542984,87,87,84,31,95,95
"96","t_Q19","Q119",4007,0.00139419158900633,0.0537334759756391,0.0723101694989087,0.00288536303601981,"ordinal","ordinal",0.0147538398457686,166,163,162,22,96,96
"97","t_Q19","Q53",4911,0.00113784353831736,0.0490191793384897,0.0780379551560861,0.0024662057179834,"ordinal","ordinal",0.0145267899417428,175,175,173,19,97,97
"98","t_Q19","Q203",4892,0.00364581463903235,0.0854624319967443,NA,0.00792240779488581,"nominal","ordinal",0.0143934322683156,89,89,89,31,98,98
"99","t_Q19","Q107",4788,0.00352679811677881,0.0849701406472991,NA,0.00760481081748746,"nominal","ordinal",0.014117939990256,90,90,90,31,99,99
"100","t_Q19","Q226",4076,0.00307578106791784,0.0794327840501831,-0.0110854641693407,0.00690165959823608,"ordinal","ordinal",0.0141155549012694,98,101,99,29,100,100
"101","t_Q19","Q42",4827,0.00343318341730203,0.0839762162021602,NA,0.00741748649646154,"nominal","ordinal",0.0138780685432836,91,91,91,31,101,101
"102","t_Q19","Q71",4873,0.00332896360532864,0.0838328127204886,NA,0.00722741829045309,"nominal","ordinal",0.0137184213279193,93,93,92,31,102,102
"103","t_Q19","Q161",4619,0.00336027899226732,0.0838007237515884,NA,0.00720636193481531,"nominal","ordinal",0.0137119732337282,94,92,93,31,103,103
"104","t_Q19","Q68",4617,0.00328327680387197,0.0824522929805606,NA,0.00712149288773578,"nominal","ordinal",0.0135031080718591,96,95,95,31,104,104
"105","t_Q19","Q138",4420,0.00328257536104992,0.0819619658538636,NA,0.00716892511483994,"nominal","ordinal",0.0134823242626053,95,96,96,31,105,105
"106","t_Q19","Q110",4850,0.00313611085195475,0.0799096904897415,NA,0.00679456518612475,"nominal","ordinal",0.0130085414162354,101,100,97,31,106,106
"107","t_Q19","Q128",3823,0.00323412811337498,0.0793480004874931,NA,0.00679904682534168,"ordinal","ordinal",0.0129844665779668,100,97,100,31,107,107
"108","t_Q19","Q251",4828,0.00315113048850968,0.0785380968821377,NA,0.00683275735119267,"nominal","ordinal",0.0128988032454823,99,99,101,31,108,108
"109","t_Q19","Q61",4883,0.00290674037285665,0.0785275585876415,NA,0.00628774596707746,"nominal","ordinal",0.0124974255508676,105,103,102,31,109,109
"110","t_Q19","Q202",4917,0.002893335265858,0.0784322730697713,NA,0.00627995387571931,"nominal","ordinal",0.0124792002121661,106,104,103,31,110,110
"111","t_Q19","Q17",4911,0.00283124054459272,0.076509086246949,NA,0.00619233201613487,"nominal","ordinal",0.0122156799977536,107,107,105,31,111,111
"112","t_Q19","Q240",3260,0.00251732465421206,0.0738501177007067,NA,0.00662383824284401,"nominal","ordinal",0.0121145121120407,102,122,112,31,112,112
"113","t_Q19","Q149",4873,0.00283345503085997,0.0756518733894901,NA,0.00613456046733669,"nominal","ordinal",0.012095960128609,108,105,106,31,113,113
"114","t_Q19","Q215",4394,0.0028326696747456,0.0736277133488109,NA,0.00636696892067512,"nominal","ordinal",0.0120327535897098,103,106,113,31,114,114
"115","t_Q19","Q228",4365,0.00198587569177011,0.0636699247694598,-0.024242710954144,0.00434243757531658,"ordinal","ordinal",0.0119924888250814,142,143,141,28,115,115
"116","t_Q19","Q288",4820,0.00276435258406682,0.0753689712480618,NA,0.00595910443047331,"nominal","ordinal",0.0119416655583102,111,108,107,31,116,116
"117","t_Q19","Q47",4931,0.00276011476277382,0.0748901690847725,NA,0.00599667861761027,"nominal","ordinal",0.0119150585078756,109,109,109,31,117,117
"118","t_Q19","Q86",3673,0.00266109071893617,0.0738536481638701,NA,0.00596551890721653,"nominal","ordinal",0.0117630033763978,110,114,111,31,118,118
"119","t_Q19","Q74",4797,0.00267312711153345,0.0749031286697548,NA,0.00578252355201179,"nominal","ordinal",0.0117617651316426,116,113,108,31,119,119
"120","t_Q19","Q213",4820,0.00268605716715076,0.0739270875573957,NA,0.00586829433647444,"nominal","ordinal",0.0117195025077695,113,111,110,31,120,120
"121","t_Q19","Q176",4794,0.00273866627387331,0.073394198195028,NA,0.0059262881431278,"nominal","ordinal",0.0117167925875415,112,110,114,31,121,121
"122","t_Q19","Q230",4266,0.00133428408089742,0.0511138902601053,0.0443688498392537,0.00288763158256254,"ordinal","ordinal",0.0116811381837427,165,166,167,26,122,122
"123","t_Q19","Q255",4900,0.00267550054679688,0.0725863377566939,NA,0.0057953488173896,"nominal","ordinal",0.0115384932301422,115,112,117,31,123,123
"124","t_Q19","Q167",4630,0.00265802656529601,0.0723485616658191,NA,0.00581780403534103,"ordinal","ordinal",0.0115229465573753,114,115,120,31,124,124
"125","t_Q19","Q116",4749,0.00262197335319669,0.0732071272135182,NA,0.00567446325485386,"nominal","ordinal",0.0115119826802231,119,118,115,31,125,125
"126","t_Q19","Q113",4731,0.00253167847921798,0.0730248923017418,NA,0.00548636304629004,"nominal","ordinal",0.0113538106017136,123,121,116,31,126,126
"127","t_Q19","Q158",4759,0.00261415758560535,0.0719567127098858,NA,0.00562082775839554,"nominal","ordinal",0.0113524152017075,120,119,124,31,127,127
"128","t_Q19","Q83",4213,0.00251290502479851,0.072417192396619,NA,0.00554526603343846,"nominal","ordinal",0.0113227503671645,121,123,119,31,128,128
"129","t_Q19","Q65",4850,0.00254265569482204,0.0722215169724204,NA,0.00549733141543649,"nominal","ordinal",0.0112833472549505,122,120,121,31,129,129
"130","t_Q19","Q78",4852,0.00245890269845805,0.0719261643759149,NA,0.00532493359412867,"nominal","ordinal",0.0111252474036061,126,125,125,31,130,130
"131","t_Q19","Q190",4898,0.00241732784250637,0.0724271663218476,NA,0.00525302109694844,"nominal","ordinal",0.0111197276431057,128,127,118,31,131,131
"132","t_Q19","Q88",4173,0.00243560084891747,0.0708193419632525,NA,0.0054126601291649,"nominal","ordinal",0.0110602105284994,124,126,127,31,132,132
"133","t_Q19","Q244",4817,0.00264647774940485,0.0675717807220122,NA,0.00574290870275759,"nominal","ordinal",0.0109968666186772,117,117,131,31,133,133
"134","t_Q19","Q79",4702,0.00241665353528653,0.0709767301153167,NA,0.00525973628288748,"nominal","ordinal",0.0109785108418501,127,128,126,31,134,134
"135","t_Q19","Q50",4921,0.00246033008416457,0.0702095300012188,NA,0.00533164197442027,"nominal","ordinal",0.0109580372100234,125,124,128,31,135,135
"136","t_Q19","Q287",4765,0.00240121700879747,0.0701176783764811,NA,0.00516317270640654,"nominal","ordinal",0.0108300365641313,129,129,129,31,136,136
"137","t_Q19","Q132",4561,0.00230407377824715,0.0672952401445276,NA,0.00502871228925447,"nominal","ordinal",0.0104379735214796,131,131,132,31,137,137
"138","t_Q19","Q250",4874,0.0020890647327656,0.0682024554601782,NA,0.00454239489568456,"nominal","ordinal",0.0101724019032582,139,139,130,31,138,138
"139","t_Q19","Q57",4893,0.00224549529905271,0.0656891534659976,NA,0.00485984554047037,"nominal","ordinal",0.0101584712605978,132,132,136,31,139,139
"140","t_Q19","Q150",4879,0.00222528452606152,0.065700776148171,NA,0.00481798629301183,"nominal","ordinal",0.0101284547484427,133,133,135,31,140,140
"141","t_Q19","Q91",3408,0.0021718092548495,0.0667931155506382,NA,0.00463550753019992,"nominal","ordinal",0.0101121588496386,136,134,133,31,141,141
"142","t_Q19","Q252",4819,0.00212042265564172,0.0666431623415125,NA,0.0045863635775556,"nominal","ordinal",0.0100522611773771,138,138,134,31,142,142
"143","t_Q19","Q168",4621,0.00215958121200632,0.0648044826304719,NA,0.00471085526104049,"ordinal","ordinal",0.00995483578327338,134,135,138,31,143,143
"144","t_Q19","Q89",3911,0.0020542434269073,0.0646352765092357,NA,0.00450953499218965,"nominal","ordinal",0.00978552167430956,140,140,139,31,144,144
"145","t_Q19","Q2",4931,0.000706168769852411,0.0390076593755085,-0.0472615096075471,0.00153212350052013,"ordinal","ordinal",0.00975804162957335,192,192,188,24,145,145
"146","t_Q19","Q165",4854,0.00212545482131254,0.0635104746662617,NA,0.00459436016275264,"ordinal","ordinal",0.00974530001067152,137,137,142,31,146,146
"147","t_Q19","Q75",4797,0.0020007786008005,0.0643258730831208,NA,0.00433418775454703,"nominal","ordinal",0.00963333354128044,143,142,140,31,147,147
"148","t_Q19","Q9",4907,0.0020213998834846,0.0633197102804949,NA,0.004428324305667,"nominal","ordinal",0.00959538557649507,141,141,143,31,148,148
"149","t_Q19","Q85",3975,0.00187822755188005,0.0625522608169356,NA,0.00414820102790145,"nominal","ordinal",0.00930761496399845,146,146,144,31,149,149
"150","t_Q19","Q13",4898,0.00184856947312362,0.0615641518302369,NA,0.00406547610665199,"nominal","ordinal",0.00915027168895197,147,147,146,31,150,150
"151","t_Q19","Q159",4741,0.00184411392091377,0.0603547758762403,NA,0.00395911907857224,"nominal","ordinal",0.00896418321104151,148,148,148,31,151,151
"152","t_Q19","Q234",4540,0.000847443517612234,0.0414380076125072,-0.0340459184163527,0.00185718626798346,"ordinal","ordinal",0.00891693741895974,182,184,184,27,152,152
"153","t_Q19","Q246",4774,0.00173446740788652,0.0607927796541993,NA,0.00376263890603119,"nominal","ordinal",0.0088572015314046,150,150,147,31,153,153
"154","t_Q19","Q43",4828,0.00182709770077061,0.0589297600542892,NA,0.0039590133457601,"nominal","ordinal",0.00881651332311616,149,149,149,31,154,154
"155","t_Q19","Q254",4865,0.00191558547451987,0.0556858549478127,NA,0.00414908541484771,"nominal","ordinal",0.00863271238604585,145,145,156,31,155,155
"156","t_Q19","Q80",4598,0.00165711745041452,0.0584215392985774,NA,0.00360686631482362,"nominal","ordinal",0.00850340895387627,152,152,152,31,156,156
"157","t_Q19","Q18",4941,0.00162622666409717,0.0586627934413006,NA,0.0035325095122712,"ordinal","ordinal",0.00847365305072193,154,154,150,31,157,157
"158","t_Q19","Q191",4900,0.00156557651531131,0.0586587314983254,NA,0.00340056055579405,"nominal","ordinal",0.00837588243790236,157,157,151,31,158,158
"159","t_Q19","Q196",4874,0.00161520332337073,0.0572802206749974,NA,0.00350470286105974,"nominal","ordinal",0.0083154047811468,155,155,153,31,159,159
"160","t_Q19","Q1",4936,0.000560810169327297,0.0264522343456759,0.0467111728007391,0.00121747409331169,"ordinal","ordinal",0.00821506822142671,198,198,210,25,160,160
"161","t_Q19","Q273",4921,0.00165586563152953,0.0552027671217308,NA,0.0035932763775165,"nominal","ordinal",0.00817300222814184,153,153,159,31,161,161
"162","t_Q19","Q241",4819,0.00155577552761343,0.0563504291368103,NA,0.00336506129837614,"nominal","ordinal",0.00812081235099074,158,158,154,31,162,162
"163","t_Q19","Q274",4771,0.00158403843641963,0.0557605483431058,NA,0.00343748181396722,"nominal","ordinal",0.0081137554536168,156,156,155,31,163,163
"164","t_Q19","Q263",4914,0.00166612814868827,0.0535622527738476,NA,0.00361501734864927,"nominal","ordinal",0.0080250741311808,151,151,163,31,164,164
"165","t_Q19","Q76",4831,0.00150396787503659,0.0553819921480265,NA,0.00326690907803593,"nominal","ordinal",0.00794953502413518,159,159,158,31,165,165
"166","t_Q19","Q271",4893,0.00148222938457554,0.055633503368069,NA,0.00321236806532462,"nominal","ordinal",0.00793543999137433,162,162,157,31,166,166
"167","t_Q19","Q118",4780,0.00149722919617457,0.0549779421985729,NA,0.00324348352291659,"nominal","ordinal",0.00789305309245961,160,160,160,31,167,167
"168","t_Q19","Q256",4891,0.0014892284262551,0.0546593527270272,NA,0.00322676238475366,"nominal","ordinal",0.00784876123143144,161,161,161,31,168,168
"169","t_Q19","Q111",4592,0.00138399868667349,0.0528170525915322,NA,0.00299237340973603,"nominal","ordinal",0.00749232891099688,163,164,166,31,169,169
"170","t_Q19","Q70",4879,0.00136366696612011,0.0528494783754057,NA,0.00295453410599706,"nominal","ordinal",0.00746676839097484,164,165,165,31,170,170
"171","t_Q19","Q66",4847,0.00131826840669724,0.0531414446473391,NA,0.00286708832330635,"nominal","ordinal",0.00742987798072689,167,167,164,31,171,171
"172","t_Q19","Q117",4636,0.00124513769149459,0.0507456484170709,NA,0.00268953607199835,"nominal","ordinal",0.00706182779235448,168,168,168,31,172,172
"173","t_Q19","Q103",4865,0.00120609054604959,0.0505525909456279,NA,0.00261416244096827,"nominal","ordinal",0.00698558372295863,170,170,169,31,173,173
"174","t_Q19","Q69",4908,0.00121906992667142,0.0498576528601323,NA,0.00264313290238105,"nominal","ordinal",0.00693736600544329,169,169,171,31,174,174
"175","t_Q19","Q15",4905,0.00117775153961563,0.049013412918642,NA,0.00258867142923486,"nominal","ordinal",0.0068078696112898,172,172,174,31,175,175
"176","t_Q19","Q180",4884,0.00117142789322333,0.0492192356728759,NA,0.00255556163702631,"nominal","ordinal",0.00680668891747037,173,173,172,31,176,176
"177","t_Q19","Q189",4852,0.00109867484879,0.0504409262779144,NA,0.00237760674269569,"nominal","ordinal",0.00680025912804585,177,176,170,31,177,177
"178","t_Q19","Q207",4846,0.00115198482243173,0.0483328261774279,NA,0.00249986639336152,"nominal","ordinal",0.00667879790048922,174,174,175,31,178,178
